Block Group,Value,Percentage of 2022 Total Population
130119701.001,10,0.86%
130119701.002,9,0.98%
130119701.003,16,1.01%
130119701.004,5,0.50%
130119702.001,26,2.64%
130119702.002,24,2.17%
130119702.003,30,2.01%
130119702.004,31,2.23%
130119703.001,59,2.72%
130119703.002,34,2.24%
130119703.003,14,1.53%
130119704.001,76,3.67%
130119704.002,62,3.98%
130570901.011,7,0.64%
130570901.013,14,0.97%
130570905.042,64,2.27%
130570905.061,10,0.48%
130570905.071,11,0.89%
130570905.072,18,1.93%
130859701.011,2,0.29%
130859701.012,2,0.20%
130859701.021,6,0.26%
130859701.022,29,0.99%
130859701.031,3,0.33%
130859701.032,3,0.15%
130859702.031,7,0.33%
130859702.032,25,1.01%
130859702.041,21,0.75%
130859702.042,32,2.21%
130859702.051,8,0.96%
130859702.052,36,1.00%
130859702.061,15,0.78%
130859702.062,17,1.19%
130859702.063,5,0.28%
131171301.011,44,1.81%
131171301.012,101,4.43%
131171301.021,5,0.30%
131171301.022,4,0.31%
131171301.031,39,2.29%
131171301.032,20,1.31%
131171301.033,29,1.56%
131171301.041,7,0.40%
131171301.042,21,1.41%
131171301.043,15,1.09%
131171301.051,34,1.25%
131171302.011,36,1.76%
131171302.012,47,2.80%
131171302.013,10,0.52%
131171302.021,25,1.75%
131171302.022,220,7.67%
131171302.023,34,1.72%
131171302.031,102,2.95%
131171302.032,16,0.90%
131171302.033,40,3.01%
131171302.041,180,3.83%
131171302.042,153,8.12%
131171302.043,39,4.23%
131171302.051,378,14.22%
131171302.052,157,5.85%
131171302.053,68,4.72%
131171303.011,120,3.96%
131171303.012,30,1.78%
131171303.013,103,3.85%
131171303.031,90,3.00%
131171303.032,33,1.84%
131171304.111,173,10.24%
131171304.112,21,1.32%
131171304.121,16,1.13%
131171304.122,18,0.77%
131171305.031,11,0.68%
131171305.032,15,1.10%
131171305.051,23,1.73%
131171305.062,90,3.96%
131230801.003,12,0.58%
131230805.001,7,0.62%
131370002.011,14,0.70%
131370002.012,9,0.37%
131370003.001,18,1.30%
131370003.003,87,5.72%
131370004.001,16,1.32%
131370004.002,33,2.89%
131370004.003,27,2.40%
131370004.004,13,0.77%
131370005.011,48,3.40%
131370005.012,198,19.57%
131370005.021,39,2.06%
131370005.022,40,2.76%
131370005.023,100,4.65%
131370006.011,35,1.90%
131370006.012,41,4.67%
131370006.013,14,1.31%
131370006.014,680,29.58%
131370006.031,11,0.73%
131370006.032,13,0.79%
131370006.041,45,4.37%
131370006.042,62,3.46%
131370006.043,80,5.04%
131370006.044,23,2.25%
131390001.011,152,5.73%
131390001.012,93,3.54%
131390001.021,67,2.92%
131390001.022,70,4.20%
131390002.031,17,0.72%
131390002.032,10,0.43%
131390002.041,18,0.84%
131390002.042,55,2.50%
131390002.051,29,1.05%
131390002.061,13,0.65%
131390002.062,21,1.22%
131390003.031,11,0.65%
131390003.032,4,0.45%
131390003.041,39,1.83%
131390003.042,26,1.24%
131390003.051,36,3.08%
131390003.052,27,1.19%
131390003.053,11,1.38%
131390003.061,14,1.25%
131390003.062,52,3.82%
131390003.071,29,1.50%
131390003.072,41,1.81%
131390004.011,64,4.41%
131390004.012,376,17.23%
131390004.021,31,1.84%
131390004.022,27,1.90%
131390005.011,3,0.32%
131390005.012,254,14.57%
131390005.013,11,1.11%
131390005.021,84,9.15%
131390005.022,169,6.62%
131390006.011,15,2.62%
131390006.012,137,10.81%
131390006.013,89,6.49%
131390006.021,51,4.11%
131390006.022,389,12.42%
131390007.021,205,6.80%
131390007.022,177,8.03%
131390007.031,549,35.77%
131390007.032,721,38.09%
131390007.041,586,25.79%
131390007.042,73,5.99%
131390008.001,243,32.40%
131390008.002,372,33.51%
131390008.003,508,36.26%
131390009.011,163,10.49%
131390009.012,139,9.16%
131390009.021,82,5.29%
131390009.022,105,8.50%
131390010.041,122,9.55%
131390010.042,336,18.25%
131390010.051,70,3.09%
131390010.052,127,6.24%
131390010.061,28,1.49%
131390010.062,47,3.92%
131390010.071,443,20.72%
131390010.081,26,1.41%
131390010.082,117,11.32%
131390010.083,198,14.43%
131390011.011,273,19.05%
131390011.012,33,1.85%
131390011.013,99,5.48%
131390011.021,35,2.24%
131390011.022,121,3.80%
131390012.021,94,5.23%
131390012.023,52,5.24%
131390012.024,82,6.72%
131390012.031,331,15.44%
131390012.043,219,12.45%
131390013.042,407,13.05%
131390014.021,33,3.10%
131390014.022,146,5.65%
131390014.051,187,10.49%
131390014.061,351,9.83%
131390014.062,185,14.36%
131570102.001,6,0.93%
131570102.002,82,5.18%
131570103.001,102,6.49%
131570103.004,450,18.34%
131879601.031,3,0.25%
131879601.032,20,1.03%
131879601.041,13,1.06%
131879601.042,7,0.77%
131879601.043,31,1.38%
131879601.051,5,0.37%
131879601.052,1,0.08%
131879601.061,9,0.67%
131879601.062,21,0.93%
131879602.031,13,0.60%
131879602.032,5,0.52%
131879602.033,14,1.21%
131879602.041,114,3.20%
131879602.042,64,7.30%
131879602.051,19,0.68%
131879602.052,5,0.49%
131879602.053,8,0.60%
131879602.061,3,0.49%
131879602.062,13,0.66%
131879602.063,3,0.28%
131879602.064,67,2.65%
132270501.011,4,0.16%
132270501.021,1,0.18%
132270501.022,2,0.40%
132270501.024,3,0.21%
132270506.021,4,0.74%
132270506.022,13,0.79%
132579704.012,58,3.36%
133119502.022,8,0.42%
133119502.051,16,0.94%
133119502.061,124,7.38%
133119502.062,104,11.21%
133119502.063,53,2.64%
133119502.071,7,0.38%
133119502.072,13,1.19%
133119502.073,15,0.96%
133119503.011,2,0.14%
133119503.012,18,0.72%
133119503.021,4,0.46%
133119503.022,11,0.90%
133119503.023,8,0.48%
130131801.031,116,5.47%
130131801.032,189,9.93%
130131801.033,89,5.11%
130131801.051,87,6.02%
130131801.052,66,4.73%
130131801.061,111,6.48%
130131801.062,41,3.37%
130131801.071,135,7.60%
130131801.072,161,6.42%
130131802.061,152,9.52%
130131803.021,157,5.92%
130131803.024,40,3.21%
130131803.031,119,3.54%
130131804.012,219,8.55%
130131804.024,249,17.95%
130570901.012,27,1.52%
130570901.022,7,0.59%
130570901.023,2,0.14%
130570901.031,17,0.76%
130570904.021,63,3.15%
130570905.031,15,1.22%
130570905.032,84,4.32%
130570905.033,10,0.59%
130570905.041,102,3.86%
130570905.051,135,6.78%
130570905.052,58,2.60%
130570905.053,36,2.11%
130570905.062,54,2.13%
130570906.031,80,3.73%
130570906.033,60,3.38%
130570906.042,92,4.82%
130570908.051,61,2.81%
130570908.052,46,3.31%
130570908.081,20,1.78%
130570908.083,132,3.72%
130570908.091,32,1.77%
130570908.092,31,1.36%
130570908.101,78,3.61%
130570908.102,204,7.87%
130570909.061,180,7.12%
130570909.072,80,3.98%
130570909.111,59,2.74%
130670303.263,62,6.18%
130670303.421,159,7.40%
130670303.422,74,4.44%
130670303.423,26,2.13%
130670303.431,64,3.52%
130670303.432,83,4.05%
130670303.433,60,5.79%
131171303.021,100,3.56%
131171303.022,106,2.85%
131171303.023,168,5.16%
131171303.041,156,5.84%
131171303.042,229,4.65%
131171303.051,63,3.61%
131171303.052,155,5.24%
131171303.053,121,4.72%
131171303.061,38,1.47%
131171303.062,151,5.13%
131171303.071,313,5.90%
131171303.072,104,3.67%
131171304.061,146,7.04%
131171304.062,120,4.68%
131171304.063,196,5.60%
131171304.091,15,1.67%
131171304.092,154,6.12%
131171304.101,238,6.84%
131171304.102,232,10.18%
131171304.103,129,3.77%
131171304.131,26,2.05%
131171304.132,87,4.22%
131171304.141,189,5.30%
131171304.142,66,3.85%
131171304.151,109,4.25%
131171304.152,40,1.99%
131171305.041,41,2.02%
131171305.042,9,0.45%
131171305.052,18,1.14%
131171305.061,75,4.67%
131171305.071,49,2.85%
131171305.072,74,3.97%
131171305.081,78,2.85%
131171305.082,79,2.52%
131171305.091,44,1.81%
131171305.092,15,0.95%
131171305.111,101,3.63%
131171305.112,125,4.92%
131171305.121,92,1.79%
131171306.011,495,12.54%
131171306.012,62,5.01%
131171306.013,114,5.78%
131171306.021,329,9.95%
131171306.022,208,6.60%
131171306.031,197,10.11%
131171306.032,106,4.79%
131171306.033,711,11.65%
131171306.041,73,5.35%
131171306.042,29,1.93%
131171306.043,123,5.29%
131171306.051,70,2.84%
131171306.052,50,2.07%
131171306.061,163,4.19%
131171306.062,51,3.09%
131171306.071,89,2.31%
131171306.072,51,3.21%
131171306.073,120,2.89%
131171306.081,182,7.09%
131171306.082,228,5.49%
131171306.091,205,9.40%
131171306.092,80,2.97%
131171306.093,135,5.67%
131171306.101,108,3.97%
131171306.102,119,2.80%
131171306.111,48,3.11%
131171306.112,104,2.97%
131171306.131,79,3.09%
131171306.132,169,4.01%
131171306.141,32,3.02%
131171306.142,111,3.79%
131171306.151,29,3.07%
131171306.152,74,2.85%
131210114.161,112,5.39%
131210114.162,223,10.75%
131210114.163,48,3.71%
131210114.164,79,7.96%
131210114.171,59,4.68%
131210114.172,45,3.28%
131210114.173,149,8.61%
131210114.174,23,3.30%
131210114.191,95,5.63%
131210114.192,124,6.05%
131210114.193,18,2.15%
131210114.194,75,6.16%
131210114.211,472,34.40%
131210114.212,159,21.84%
131210114.213,281,19.82%
131210114.214,107,15.81%
131210114.261,153,12.32%
131210114.262,59,5.00%
131210114.281,66,5.97%
131210114.282,96,5.74%
131210114.291,66,7.89%
131210114.292,239,11.00%
131210114.293,42,5.49%
131210114.294,133,7.29%
131210114.301,418,25.15%
131210114.302,342,25.48%
131210114.303,429,30.51%
131210114.311,86,10.36%
131210114.312,57,5.58%
131210114.341,178,11.60%
131210114.342,282,16.34%
131210114.372,75,8.47%
131210114.431,39,2.64%
131210114.432,195,10.69%
131210114.451,104,7.57%
131210114.452,45,2.46%
131210114.461,62,5.41%
131210114.462,51,6.42%
131210114.463,59,3.94%
131210115.051,74,4.62%
131210115.052,71,10.10%
131210115.053,112,5.84%
131210115.071,69,3.57%
131210115.072,64,3.24%
131210115.073,46,4.25%
131210115.081,81,5.93%
131210115.082,168,5.54%
131210115.091,31,2.89%
131210115.092,122,7.79%
131210115.101,86,4.02%
131210115.102,113,3.80%
131210115.103,63,6.22%
131210115.111,128,8.79%
131210115.112,92,6.45%
131210115.121,81,4.88%
131210115.122,23,1.79%
131210115.131,77,4.22%
131210115.132,71,4.40%
131210115.141,39,2.41%
131210115.142,99,4.80%
131210115.151,62,5.02%
131210115.152,38,2.95%
131210116.181,306,13.12%
131210116.182,41,5.01%
131210116.183,74,5.93%
131210116.241,162,7.58%
131210116.242,129,7.01%
131210116.271,156,7.47%
131210116.272,36,7.69%
131210116.291,70,5.09%
131210116.292,203,11.00%
131210116.293,99,6.25%
131210116.301,204,10.61%
131210116.302,320,13.88%
131210116.311,238,18.45%
131210116.312,43,7.96%
131210116.313,124,14.52%
131210116.314,218,14.57%
131210116.321,352,17.47%
131210116.322,172,10.52%
131210116.331,58,6.19%
131210116.332,94,8.12%
131210116.333,256,13.57%
131210116.341,215,16.45%
131210116.342,175,12.53%
131210116.351,116,12.06%
131210116.352,65,7.33%
131210116.353,162,6.80%
131210116.361,261,12.26%
131210116.371,51,6.50%
131210116.372,195,10.58%
131210116.381,82,6.09%
131210116.382,139,13.06%
131210116.383,141,11.13%
131210116.384,99,7.86%
131210116.391,158,12.52%
131210116.392,150,17.01%
131210116.401,227,10.50%
131210116.402,288,9.18%
131210116.411,52,2.77%
131210116.412,50,4.53%
131210116.413,56,4.27%
131210116.421,188,17.85%
131210116.422,70,6.39%
131210116.423,239,16.72%
131210116.431,351,19.36%
131210116.432,223,15.74%
131210116.433,254,16.42%
131210116.441,304,24.76%
131210116.442,129,13.35%
131210116.443,327,20.20%
131210116.451,265,27.58%
131210116.452,128,11.52%
131210116.453,351,16.15%
131210116.461,186,18.43%
131210116.462,348,14.91%
131210116.471,192,10.87%
131210116.472,100,14.20%
131210116.473,184,11.97%
131210116.474,283,19.29%
131210116.481,84,8.29%
131210116.482,136,6.81%
131210116.491,117,9.23%
131210116.492,144,7.59%
131210116.493,262,9.34%
131210116.501,75,6.28%
131210116.502,158,8.48%
131210116.503,153,14.39%
131210116.511,44,7.89%
131210116.512,179,10.67%
131210116.521,256,11.96%
131210116.522,157,10.61%
131210116.531,101,10.64%
131210116.532,174,10.92%
131210116.533,61,5.98%
131210116.541,398,18.43%
131210116.542,33,5.86%
131210116.551,41,2.22%
131210116.552,46,3.90%
131210116.561,189,7.65%
131210116.562,122,6.73%
131210116.571,185,14.84%
131210116.572,223,12.17%
131210116.581,277,14.38%
131210116.582,351,17.15%
131210116.591,138,18.28%
131210116.592,159,6.96%
131210116.601,292,13.96%
131210116.602,197,8.45%
131210116.611,50,5.79%
131210116.612,84,6.29%
131350501.051,532,40.95%
131350501.052,476,17.02%
131350501.053,261,14.57%
131350501.101,533,15.96%
131350501.102,142,6.16%
131350501.111,98,6.76%
131350501.112,260,21.58%
131350501.121,312,15.49%
131350501.122,641,20.01%
131350501.131,417,19.21%
131350501.132,462,22.30%
131350501.133,377,17.59%
131350501.141,142,14.58%
131350501.142,172,7.37%
131350501.151,232,12.50%
131350501.152,134,13.58%
131350501.153,263,18.20%
131350501.161,218,10.94%
131350501.162,331,14.22%
131350501.163,143,11.65%
131350501.164,57,3.69%
131350501.171,215,10.17%
131350501.172,181,9.33%
131350501.181,439,18.78%
131350501.182,119,8.89%
131350501.191,265,10.06%
131350501.192,155,9.82%
131350501.193,240,18.02%
131350501.201,177,14.19%
131350501.202,64,5.71%
131350501.211,153,11.31%
131350501.212,203,13.99%
131350501.213,244,13.97%
131350501.214,372,20.41%
131350502.231,114,8.67%
131350502.232,609,29.78%
131350502.233,633,22.42%
131350502.241,341,24.32%
131350502.242,330,9.96%
131350502.251,591,31.06%
131350502.252,403,28.79%
131350502.253,212,21.44%
131350502.261,339,24.20%
131350502.262,635,26.94%
131350502.321,103,12.45%
131350502.341,313,14.61%
131350502.351,682,18.79%
131350502.391,149,10.70%
131350502.392,245,10.85%
131350502.393,342,20.98%
131350502.401,336,15.57%
131350502.402,336,18.02%
131350502.411,166,11.49%
131350502.412,113,9.33%
131350502.413,314,14.93%
131350502.421,281,10.27%
131350502.422,197,9.39%
131350502.431,146,7.15%
131350502.432,25,2.66%
131350502.433,318,8.73%
131350502.441,154,13.58%
131350502.442,248,13.66%
131350505.281,453,15.06%
131350505.282,361,15.28%
131350505.293,453,24.84%
131350505.651,319,16.14%
131350505.652,402,24.97%
131350505.792,378,20.66%
131350505.793,223,16.28%
131350505.841,162,14.77%
131350505.842,243,18.62%
131350506.111,217,12.29%
131350506.112,244,17.20%
131350506.113,243,18.15%
131350506.121,804,23.87%
131350506.122,372,18.26%
131350506.131,218,18.84%
131350506.132,284,18.39%
131350506.133,357,26.48%
131350506.141,444,20.24%
131350506.142,292,19.84%
131350506.151,237,13.84%
131350506.152,112,19.48%
131350506.161,350,15.60%
131350506.162,313,17.94%
131350506.171,357,17.60%
131350506.172,239,13.26%
131350506.173,349,33.37%
131350506.174,673,21.59%
131350506.175,147,7.57%
131350506.181,179,8.83%
131350506.182,134,12.64%
131350506.183,165,10.89%
131350506.191,608,24.57%
131350506.192,247,13.48%
131350506.193,799,29.44%
131350506.201,126,8.81%
131350506.202,468,19.00%
131350506.211,401,17.06%
131350506.212,199,10.61%
131350506.281,293,21.17%
131350506.282,"1,382",37.39%
131350506.283,240,15.53%
131350506.291,484,21.02%
131350506.311,195,12.26%
131350506.312,128,8.21%
131350506.313,568,17.60%
131350506.314,140,8.40%
131350506.321,246,15.89%
131350506.322,258,13.69%
131350506.331,455,50.11%
131350506.332,586,24.94%
131350506.341,311,18.56%
131350506.342,302,17.44%
131350506.343,953,24.92%
131350506.351,312,14.64%
131350506.352,288,15.21%
131350506.361,"1,081",30.04%
131350506.362,81,8.95%
131390012.022,176,7.52%
131390012.041,69,4.87%
131390012.042,69,3.01%
131390013.021,141,4.48%
131390013.022,78,3.14%
131390013.031,48,3.68%
131390013.032,48,2.90%
131390013.041,29,3.34%
131390014.023,84,4.33%
131390014.041,120,7.30%
131390014.042,58,7.69%
131390014.043,175,11.51%
131390014.044,257,11.76%
131390014.052,168,17.18%
131390015.011,109,4.35%
131390015.012,68,4.74%
131390015.013,76,3.78%
131390015.021,56,2.69%
131390015.022,76,3.20%
131390016.031,208,9.41%
131390016.032,93,5.44%
131390016.033,70,4.63%
131390016.051,59,2.94%
131390016.052,79,4.33%
131390016.053,77,4.85%
131390016.061,146,8.25%
131390016.062,626,17.42%
131390016.071,220,9.32%
131390016.072,251,8.94%
131390016.073,77,4.93%
131390016.091,39,3.12%
131390016.092,89,4.07%
131390016.093,77,4.15%
131390016.101,149,5.90%
131390016.102,43,4.63%
131390016.111,106,5.46%
131390016.112,95,2.39%
131390016.121,80,3.95%
131390016.122,14,1.46%
131570101.041,296,8.57%
131570101.042,81,4.43%
131570101.051,50,3.08%
131570101.052,71,3.11%
131570101.061,197,7.16%
131570101.062,87,4.58%
131570101.071,26,1.40%
131570101.072,48,3.53%
131570101.073,85,2.97%
131570101.081,174,8.82%
131570101.082,30,1.50%
131570101.091,291,13.37%
131570101.092,168,6.25%
131570102.003,26,1.50%
131570102.004,6,0.54%
131570106.011,258,16.60%
131570106.012,209,9.34%
131570106.013,67,5.06%
131570106.022,72,4.02%
131570106.023,240,11.58%
131570107.011,54,3.34%
131570107.012,123,13.23%
131570107.031,71,3.06%
131570107.032,26,1.58%
131570107.041,79,4.35%
131570107.042,151,7.21%
131570107.051,32,2.80%
131570107.052,127,5.56%
131570107.053,95,6.98%
131570107.061,38,3.77%
131570107.062,313,32.77%
131570107.063,90,4.49%
132270505.001,21,1.08%
